Name,Price,Color,RAM,Rating,Ratings,Reviews
APPLE iPhone 14 ,57999,Blue,128 GB,4.6,216389,216389
APPLE iPhone 14 ,58999,Starlight,128 GB,4.6,216389,216389
APPLE iPhone 14 ,58999,Midnight,128 GB,4.6,216389,216389
APPLE iPhone 14 Plus ,63999,Blue,128 GB,4.6,46765,46765
APPLE iPhone 14 Plus ,63999,Starlight,128 GB,4.6,46765,46765
APPLE iPhone 14 Plus ,63999,Midnight,128 GB,4.6,46765,46765
APPLE iPhone 14 Plus ,63999,Purple,128 GB,4.6,46765,46765
APPLE iPhone 14 ,58999,Purple,128 GB,4.6,216389,216389
APPLE iPhone 14 ,67499,Starlight,256 GB,4.6,216389,216389
APPLE iPhone 12 ,39999,White,64 GB,4.6,202563,202563
APPLE iPhone 12 ,39999,Blue,64 GB,4.6,202563,202563
APPLE iPhone 14 ,67999,Blue,256 GB,4.6,216389,216389
APPLE iPhone 15 ,79900,Blue,128 GB,4.6,1217,1217
APPLE iPhone 14 ,68999,Midnight,256 GB,4.6,216389,216389
APPLE iPhone 12 ,39999,Green,64 GB,4.6,202563,202563
APPLE iPhone 15 ,79900,Black,128 GB,4.6,1217,1217
APPLE iPhone 12 ,44999,Blue,128 GB,4.6,202563,202563
APPLE iPhone 12 ,39999,Black,64 GB,4.6,202563,202563
APPLE iPhone 14 ,68999,Purple,256 GB,4.6,216389,216389
APPLE iPhone 12 ,44999,White,128 GB,4.6,202563,202563
APPLE iPhone 12 ,44999,Black,128 GB,4.6,202563,202563
APPLE iPhone 15 ,79900,Green,128 GB,4.6,1217,1217
APPLE iPhone 13 ,51999,Blue,128 GB,4.7,272491,272491
APPLE iPhone 15 ,79900,Pink,128 GB,4.6,1217,1217
